u: 0.6333938241004944, s: 0.002054293407127261, v: 0.2141466736793518
u: 0.8444260954856873, s: 0.0015696532791480422, v: 0.019118083640933037
u: 0.6405315399169922, s: 0.0015933657996356487, v: 0.01579597406089306
u: 0.820292055606842, s: 0.0015703047392889857, v: 0.017308715730905533
u: 1.2735264301300049, s: 0.0015312049072235823, v: 0.021610870957374573
u: 1.106414794921875, s: 0.0015060176374390721, v: 0.024174552410840988
u: 1.0188170671463013, s: 0.0015886081382632256, v: 0.022500112652778625
u: 1.0738061666488647, s: 0.0016350651858374476, v: 0.02352747693657875
u: 1.263359546661377, s: 0.0015568792587146163, v: 0.019173704087734222
u: 1.3412878513336182, s: 0.0017796867759898305, v: 0.05243074893951416
u: 1.3251248598098755, s: 0.0016163117252290249, v: 0.022118663415312767
u: 1.1298327445983887, s: 0.001634917571209371, v: 0.02044064551591873
u: 1.0657669305801392, s: 0.001603929209522903, v: 0.03262310475111008
u: 1.1155245304107666, s: 0.0015792843187227845, v: 0.02037542499601841
u: 1.175679087638855, s: 0.001582181896083057, v: 0.01788255199790001
u: 1.1842187643051147, s: 0.0015921896556392312, v: 0.022847391664981842
u: 1.1455280780792236, s: 0.001525694620795548, v: 0.020368248224258423
u: 1.1639856100082397, s: 0.0015715237241238356, v: 0.018957525491714478
u: 1.2754377126693726, s: 0.001573970657773316, v: 0.01747044548392296
u: 1.2666254043579102, s: 0.0015745456330478191, v: 0.02052759937942028
u: 1.2594449520111084, s: 0.0015409995103254914, v: 0.019068321213126183
u: 1.2671706676483154, s: 0.0015606079250574112, v: 0.021635200828313828
u: 1.293750524520874, s: 0.0015474327374249697, v: 0.033607713878154755
u: 1.3054386377334595, s: 0.0015314614865928888, v: 0.025692760944366455
u: 1.2789556980133057, s: 0.001567893661558628, v: 0.02711137756705284
u: 1.2014689445495605, s: 0.0015328421723097563, v: 0.024289067834615707
u: 1.248656988143921, s: 0.001569286105223, v: 0.020622048527002335
u: 1.2927260398864746, s: 0.0015687973937019706, v: 0.022688087075948715
u: 1.3169806003570557, s: 0.0015302703250199556, v: 0.01883181929588318
u: 1.273599624633789, s: 0.0015597676392644644, v: 0.021091386675834656
u: 1.296593189239502, s: 0.001528687309473753, v: 0.018319617956876755
u: 1.3002369403839111, s: 0.0015080946031957865, v: 0.020988313481211662
u: 1.3257333040237427, s: 0.0015407298924401402, v: 0.02931826189160347
u: 1.293121337890625, s: 0.0015632293652743101, v: 0.019186094403266907
u: 1.2264995574951172, s: 0.001616110559552908, v: 0.02010822668671608
u: 1.2249939441680908, s: 0.0015530617674812675, v: 0.019563695415854454
u: 1.2412028312683105, s: 0.00154973310418427, v: 0.026049857959151268
u: 1.182342767715454, s: 0.0015484158648177981, v: 0.017224814742803574
u: 0.8518158197402954, s: 0.0016534773167222738, v: 0.023419121280312538
u: 0.9196270704269409, s: 0.0016247500898316503, v: 0.0178714357316494
u: 1.233227014541626, s: 0.0015352207701653242, v: 0.023931041359901428
u: 1.0936429500579834, s: 0.0015869319904595613, v: 0.021926596760749817
u: 0.807196855545044, s: 0.0015946837374940515, v: 0.020468387752771378
u: 1.085242748260498, s: 0.001540056080557406, v: 0.017331942915916443
u: 1.2077140808105469, s: 0.0015983844641596079, v: 0.021995827555656433
u: 1.0831774473190308, s: 0.0016604249831289053, v: 0.020722463726997375
u: 0.6991740465164185, s: 0.0019473183201625943, v: 0.02364218980073929
u: 0.6894782185554504, s: 0.0016095758182927966, v: 0.01776636391878128
u: 0.7618144154548645, s: 0.0017497088992968202, v: 0.02201147750020027
u: 0.6561101078987122, s: 0.0016027068486437201, v: 0.019829124212265015
u: 0.7600182294845581, s: 0.001598646747879684, v: 0.022444989532232285
u: 0.9544651508331299, s: 0.0015810116892680526, v: 0.02022469788789749
u: 1.1120104789733887, s: 0.0015790383331477642, v: 0.025676224380731583
u: 1.246045708656311, s: 0.0015884565655142069, v: 0.03233778476715088
u: 1.2902535200119019, s: 0.001605609548278153, v: 0.02757972665131092
u: 1.193024754524231, s: 0.00152815121691674, v: 0.02223951742053032
u: 1.0757434368133545, s: 0.0015277049969881773, v: 0.02034374512732029
u: 1.0330497026443481, s: 0.0015770060708746314, v: 0.02313905954360962
u: 1.1012579202651978, s: 0.0015378016978502274, v: 0.019795268774032593
u: 1.2600045204162598, s: 0.0016168837901204824, v: 0.025758933275938034
u: 1.3874716758728027, s: 0.0016125886468216777, v: 0.022770866751670837
u: 1.4122024774551392, s: 0.0015487492782995105, v: 0.02042602375149727
u: 1.352060079574585, s: 0.0015826452290639281, v: 0.02274715155363083
u: 1.2460283041000366, s: 0.0015483165625482798, v: 0.01818550005555153
u: 1.146634578704834, s: 0.0015311428578570485, v: 0.026210574433207512
u: 1.082620620727539, s: 0.0015156642766669393, v: 0.016824591904878616
u: 1.041787028312683, s: 0.0015740240924060345, v: 0.02143660932779312
u: 1.0970946550369263, s: 0.001528483466245234, v: 0.022292066365480423
u: 1.1911985874176025, s: 0.0015402061399072409, v: 0.024229424074292183
u: 1.242002010345459, s: 0.0015063539613038301, v: 0.01997750997543335
u: 1.234100341796875, s: 0.0015272187301889062, v: 0.02067309431731701
u: 1.246203064918518, s: 0.0015340616228058934, v: 0.02558017149567604
u: 1.170779824256897, s: 0.001531257526949048, v: 0.019845865666866302
u: 1.039335012435913, s: 0.0015283817192539573, v: 0.024855833500623703
u: 0.9830713272094727, s: 0.0015509796794503927, v: 0.026701126247644424
u: 1.081573247909546, s: 0.0015308881411328912, v: 0.01996447518467903
u: 1.1972792148590088, s: 0.0015877155819907784, v: 0.020281396806240082
u: 1.1751205921173096, s: 0.0015365510480478406, v: 0.024195540696382523
u: 1.118678092956543, s: 0.0015339173842221498, v: 0.027514398097991943
u: 1.1890361309051514, s: 0.001530411303974688, v: 0.016672881320118904
u: 1.220522165298462, s: 0.0016426253132522106, v: 0.0188005231320858
u: 1.1584404706954956, s: 0.0015531699173152447, v: 0.02827131375670433
u: 1.1627098321914673, s: 0.0015750440070405602, v: 0.018190456554293633
u: 1.1415094137191772, s: 0.0016096089966595173, v: 0.019682705402374268
u: 1.1473963260650635, s: 0.0015791235491633415, v: 0.017952624708414078
u: 1.1778842210769653, s: 0.001504268147982657, v: 0.015408303588628769
u: 1.2257431745529175, s: 0.0015492718666791916, v: 0.019891273230314255
u: 1.4197943210601807, s: 0.0015321149257943034, v: 0.015681028366088867
u: 1.38899564743042, s: 0.0015219951746985316, v: 0.014224771410226822
u: 1.198561191558838, s: 0.00154744868632406, v: 0.020466838032007217
u: 1.0471349954605103, s: 0.0015696943737566471, v: 0.017790524289011955
u: 0.9323946833610535, s: 0.0015279409708455205, v: 0.022303862497210503
u: 1.0390859842300415, s: 0.0015454584499821067, v: 0.02333066239953041
u: 1.2816706895828247, s: 0.0015254414174705744, v: 0.018467476591467857
u: 1.3660755157470703, s: 0.001526571810245514, v: 0.02793256752192974
u: 1.4721113443374634, s: 0.001564929261803627, v: 0.02492555044591427
u: 1.4141480922698975, s: 0.0015956448623910546, v: 0.017272379249334335
u: 1.1070369482040405, s: 0.0016340729780495167, v: 0.020160622894763947
u: 0.9220759868621826, s: 0.001588168554008007, v: 0.017693419009447098
u: 0.9770005345344543, s: 0.00150393252260983, v: 0.017125152051448822
u: 1.2922135591506958, s: 0.0015298977959901094, v: 0.01574629172682762
u: 1.6288220882415771, s: 0.0015935542760416865, v: 0.022523077204823494
u: 1.5608022212982178, s: 0.0015676285838708282, v: 0.025610703974962234
u: 1.2764697074890137, s: 0.0015567841473966837, v: 0.02681591734290123
u: 1.224437952041626, s: 0.0015399408293887973, v: 0.01820409670472145
u: 1.5111879110336304, s: 0.0016321658622473478, v: 0.01711404323577881
u: 1.8607300519943237, s: 0.0016655814833939075, v: 0.019093703478574753
u: 1.7941139936447144, s: 0.0016541030490770936, v: 0.025470640510320663
u: 1.614929437637329, s: 0.0015900125727057457, v: 0.024100905284285545
u: 1.2269290685653687, s: 0.0015451397048309445, v: 0.02282586880028248
u: 0.3906029164791107, s: 0.0017559222178533673, v: 0.019489184021949768
u: 0.5493435859680176, s: 0.0017470516031607985, v: 0.026196254417300224
u: 1.3559943437576294, s: 0.0015625923406332731, v: 0.022511810064315796
u: 1.4009095430374146, s: 0.0017015815246850252, v: 0.019488271325826645
u: 1.27861487865448, s: 0.0016428057570010424, v: 0.04216455668210983
u: 1.3214564323425293, s: 0.001696107443422079, v: 0.019045371562242508
u: 1.2579894065856934, s: 0.0016895673470571637, v: 0.016857361420989037
u: 1.2032511234283447, s: 0.001525819767266512, v: 0.01953013986349106
u: 1.1419321298599243, s: 0.0016335888067260385, v: 0.02423383668065071
u: 1.1371617317199707, s: 0.0015918008284643292, v: 0.031529881060123444
